candidate_id,query_id,text,token_len,candidate_type,facet_label,group_id,underserved,utility_scalar,source_type,source_domain,cluster_id,outlier_type,x,y
Q3_C5,Q3,"Skin cancer warning signs: visible change, irregularity, bleeding, persistent lesion.",10,core_redundant,ABCDE_general,general,0,0.907,guideline,guidelines.example,core,none,0.023,-0.001
Q3_C6,Q3,"Skin cancer on darker skin: palms, soles, nails, and mucosal sites are easy to miss.",16,complementary,darker_skin_sites,darker_skin,1,0.817,review,review.example,comp,none,2.76,0.36
Q3_C7,Q3,Skin cancer bias: training images often overrepresent lighter skin and delay recognition on darker skin.,16,complementary,diagnostic_bias,darker_skin,1,0.811,review,review.example,comp,none,2.731,0.349
Q3_C8,Q3,Skin cancer on darker skin: lesions may appear under nails or on soles rather than obvious sun-exposed sites.,19,complementary,darker_skin_sites,darker_skin,1,0.792,review,review.example,comp,none,2.797,0.354
Q3_C9,Q3,"Skin cancer on darker skin: nail beds, soles, palms, and hidden sites deserve explicit attention.",16,complementary,darker_skin_sites,darker_skin,1,0.783,review,review.example,comp,none,2.761,0.266
Q3_C10,Q3,Skin cancer follow-up: hidden sites and non-healing lesions still need prompt evaluation.,13,niche,hidden_sites_followup,darker_skin,1,0.678,education,patient.example,niche,none,0.434,3.114
Q3_C11,Q3,Skin cancer follow-up: prompt evaluation matters when foot or nail lesions evolve.,13,niche,hidden_sites_followup,darker_skin,1,0.672,education,patient.example,niche,none,0.58,3.297
Q3_C12,Q3,"Acral lentiginous melanoma under nails, on palms, or on soles is especially important not to miss.",17,informative_isolated,acral_lentiginous_melanoma,darker_skin,1,0.785,equity,equity.example,isolated,informative_isolated,7.499,6.785
Q3_C13,Q3,"Beauty article: tanning, bronzing, and summer skincare campaigns shape how people think about skin.",15,noisy_outlier,irrelevant_beauty,general,0,0.165,blog,blog.example,noisy,noisy_outlier,14.005,-13.454
Q4_C1,Q4,"Stroke signs: facial droop, arm weakness, speech difficulty, sudden confusion.",10,core_redundant,FAST_signs,general,0,0.944,guideline,guidelines.example,core,none,0.02,0.018
Q4_C2,Q4,"Stroke signs: face asymmetry, arm weakness, speech problems, sudden neurologic change.",12,core_redundant,FAST_signs,general,0,0.933,guideline,guidelines.example,core,none,0.006,-0.004
Q4_C3,Q4,"Stroke signs: facial droop, arm weakness, speech trouble, urgent recognition needed.",12,core_redundant,FAST_signs,general,0,0.924,guideline,guidelines.example,core,none,0.021,-0.012
Q4_C4,Q4,"Stroke signs: face, arm, speech, time; sudden onset requires immediate attention.",12,core_redundant,FAST_signs,general,0,0.911,guideline,guidelines.example,core,none,-0.013,0.016
Q4_C5,Q4,"Stroke signs: facial droop, speech change, arm weakness, sudden confusion require urgent care.",14,core_redundant,FAST_signs,general,0,0.903,guideline,guidelines.example,core,none,0.011,0.027
Q4_C6,Q4,Stroke in older adults: symptoms may be misattributed to frailty or baseline decline.,14,complementary,older_adults_misattribution,older_adults,1,0.824,review,review.example,comp,none,2.815,0.323
Q4_C7,Q4,Stroke in women: nausea or less typical symptoms can delay recognition.,12,complementary,women_atypical,women,1,0.807,review,review.example,comp,none,2.813,0.261
Q4_C8,Q4,Stroke and living alone: no bystander may notice sudden speech or motor change.,14,complementary,living_alone_delay,living_alone,1,0.792,review,review.example,comp,none,2.873,0.365
Q4_C9,Q4,Stroke response: emergency services should be contacted immediately because early treatment matters.,13,complementary,emergency_response,general,0,0.779,review,review.example,comp,none,2.735,0.235
Q4_C10,Q4,Stroke in older adults: sudden confusion may be dismissed as normal aging.,13,niche,older_adults_misattribution,older_adults,1,0.684,education,patient.example,niche,none,0.489,3.128
Q4_C11,Q4,Stroke and living alone: delayed discovery is common when symptoms start without a witness.,15,niche,living_alone_delay,living_alone,1,0.67,education,patient.example,niche,none,0.531,3.125
Q4_C12,Q4,Stroke disparity for people living alone: lack of witnessed onset can turn recognition into a delayed emergency.,18,informative_isolated,witnessed_onset_disparity,living_alone,1,0.777,equity,equity.example,isolated,informative_isolated,7.489,6.8
Q4_C13,Q4,"Headache article: dehydration, poor sleep, and stress can all cause headache during the day.",15,noisy_outlier,irrelevant_headache,general,0,0.2,blog,blog.example,noisy,noisy_outlier,13.933,-13.563
Q5_C1,Q5,"Celiac disease signs: diarrhea, abdominal pain, bloating, fatigue.",10,core_redundant,digestive_core_symptoms,general,0,0.942,guideline,guidelines.example,core,none,0.003,-0.027
Q5_C2,Q5,"Celiac disease signs: chronic diarrhea, abdominal discomfort, bloating, poor absorption.",10,core_redundant,digestive_core_symptoms,general,0,0.935,guideline,guidelines.example,core,none,0.022,0.016
Q5_C3,Q5,"Celiac disease signs: digestive symptoms, bloating, abdominal pain, fatigue.",10,core_redundant,digestive_core_symptoms,general,0,0.92,guideline,guidelines.example,core,none,-0.03,-0.002
Q5_C4,Q5,"Celiac disease signs: abdominal pain, diarrhea, bloating, tiredness, malabsorption.",10,core_redundant,digestive_core_symptoms,general,0,0.918,guideline,guidelines.example,core,none,0.016,-0.019
Q5_C5,Q5,"Celiac disease signs: ongoing digestive complaints, bloating, fatigue, weight loss.",10,core_redundant,digestive_core_symptoms,general,0,0.906,guideline,guidelines.example,core,none,-0.015,0.012
Q5_C6,Q5,Celiac disease in children: poor growth and abdominal symptoms matter.,10,complementary,children_growth,children,1,0.818,review,review.example,comp,none,2.727,0.282
Q5_C7,Q5,Celiac disease in adults: anemia or osteoporosis can dominate even with limited digestive symptoms.,15,complementary,adult_extraintestinal,adults,0,0.808,review,review.example,comp,none,2.864,0.267
Q5_C8,Q5,"Celiac disease atypical presentation: headache, dermatitis, or iron deficiency can delay recognition.",13,complementary,atypical_presentation,atypical_cases,1,0.792,review,review.example,comp,none,2.808,0.372
Q5_C9,Q5,Celiac disease testing delay: mixed digestive and non-digestive complaints delay testing.,12,complementary,testing_delay,general,0,0.786,review,review.example,comp,none,2.816,0.301
Q5_C10,Q5,Celiac disease in children: faltering growth may be more visible than classic digestive complaints.,15,niche,children_growth,children,1,0.682,education,patient.example,niche,none,0.593,3.162
Q5_C11,Q5,Celiac disease testing delay: atypical cases may be missed when clinicians expect only diarrhea.,15,niche,testing_delay,atypical_cases,1,0.666,education,patient.example,niche,none,0.505,3.212
Q5_C12,Q5,Dermatitis herpetiformis can indicate celiac disease even when digestive symptoms are limited.,13,informative_isolated,dermatitis_herpetiformis,atypical_cases,1,0.779,equity,equity.example,isolated,informative_isolated,7.519,6.829
Q5_C13,Q5,Gluten-free lifestyle article: many people avoid gluten for wellness reasons unrelated to celiac disease.,15,noisy_outlier,irrelevant_glutenfree,general,0,0.155,blog,blog.example,noisy,noisy_outlier,13.964,-13.401
Q6_C1,Q6,"Migraine symptoms: throbbing headache, nausea, light sensitivity, sound sensitivity.",10,core_redundant,common_migraine_symptoms,general,0,0.943,guideline,guidelines.example,core,none,-0.026,0.019
Q6_C2,Q6,"Migraine symptoms: headache, nausea, photophobia, phonophobia, worsening with activity.",10,core_redundant,common_migraine_symptoms,general,0,0.927,guideline,guidelines.example,core,none,-0.003,0.007
Q6_C3,Q6,"Migraine symptoms: pulsating headache, nausea, light sensitivity, sound sensitivity.",10,core_redundant,common_migraine_symptoms,general,0,0.924,guideline,guidelines.example,core,none,0.009,-0.003
Q6_C4,Q6,Migraine symptoms: severe headache with nausea and sensitivity to light or sound.,13,core_redundant,common_migraine_symptoms,general,0,0.913,guideline,guidelines.example,core,none,-0.007,-0.006
Q6_C5,Q6,"Migraine symptoms: unilateral headache, nausea, photophobia, phonophobia.",10,core_redundant,common_migraine_symptoms,general,0,0.905,guideline,guidelines.example,core,none,-0.027,-0.004
Q6_C6,Q6,Migraine in women: hormonal fluctuations can shape timing and symptom burden.,12,complementary,women_hormonal,women,1,0.822,review,review.example,comp,none,2.833,0.351
Q6_C7,Q6,Migraine in older adults: atypical or less textbook presentation can delay recognition.,13,complementary,older_adults_atypical,older_adults,1,0.807,review,review.example,comp,none,2.793,0.258
Q6_C8,Q6,"Vestibular migraine: dizziness, vertigo, imbalance, and nausea may dominate.",10,complementary,vestibular_presentation,vestibular_patients,1,0.801,review,review.example,comp,none,2.798,0.321
Q6_C9,Q6,Migraine red flags: sudden worst headache or new neurologic deficits require urgent evaluation.,14,complementary,urgent_red_flags,general,0,0.784,review,review.example,comp,none,2.734,0.297
Q6_C10,Q6,Migraine urgency: new focal deficits or sudden thunderclap headache are not routine migraine signs.,15,niche,urgent_red_flags,general,0,0.683,education,patient.example,niche,none,0.543,3.278
Q6_C11,Q6,Migraine delay: dizziness-dominant cases may be mislabeled when headache is not prominent.,13,niche,delayed_recognition,vestibular_patients,1,0.672,education,patient.example,niche,none,0.525,3.252
Q6_C12,Q6,Vestibular migraine may be under-recognized when vertigo dominates and headache is mild.,13,informative_isolated,vestibular_presentation,vestibular_patients,1,0.782,equity,equity.example,isolated,informative_isolated,7.522,6.812
Q6_C13,Q6,"Wellness article: dehydration, posture, and blue light are common online explanations for headache.",14,noisy_outlier,irrelevant_wellness,general,0,0.193,blog,blog.example,noisy,noisy_outlier,13.949,-13.417
Q7_C1,Q7,"Adult ADHD signs: inattention, distractibility, disorganization, difficulty finishing tasks.",10,core_redundant,core_adhd_traits,general,0,0.945,guideline,guidelines.example,core,none,0.019,0.028
Q7_C2,Q7,"Adult ADHD signs: poor sustained attention, distractibility, disorganization, task switching.",10,core_redundant,core_adhd_traits,general,0,0.93,guideline,guidelines.example,core,none,-0.03,-0.011
Q7_C3,Q7,"Adult ADHD signs: inattention, forgetfulness, disorganization, problems sustaining effort.",10,core_redundant,core_adhd_traits,general,0,0.925,guideline,guidelines.example,core,none,-0.007,-0.021
Q7_C4,Q7,"Adult ADHD signs: distractibility, unfinished tasks, disorganization, poor sustained attention.",10,core_redundant,core_adhd_traits,general,0,0.92,guideline,guidelines.example,core,none,-0.025,-0.012
Q7_C5,Q7,"Adult ADHD signs: inattention, planning difficulty, forgetfulness, disorganization.",10,core_redundant,core_adhd_traits,general,0,0.904,guideline,guidelines.example,core,none,0.015,-0.002
Q7_C6,Q7,ADHD in women: internalizing symptoms and less disruptive presentation can delay diagnosis.,13,complementary,women_internalizing,women,1,0.817,review,review.example,comp,none,2.873,0.333
Q7_C7,Q7,ADHD in high-achieving students: strong grades can mask executive dysfunction.,10,complementary,high_achieving_masking,high_achieving_students,1,0.81,review,review.example,comp,none,2.774,0.323
Q7_C8,Q7,ADHD and low-resource adults: referral barriers and cost can delay diagnosis.,12,complementary,low_resource_access,low_resource_adults,1,0.794,review,review.example,comp,none,2.762,0.372
Q7_C9,Q7,"Adult ADHD burden: missed deadlines, workplace difficulty, and financial problems show impairment.",13,complementary,functional_impairment,general,0,0.781,review,review.example,comp,none,2.761,0.355
Q7_C10,Q7,ADHD masking: high achievement can coexist with severe exhaustion and compensatory overwork.,13,niche,high_achieving_masking,high_achieving_students,1,0.681,education,patient.example,niche,none,0.536,3.14
Q7_C11,Q7,ADHD referral delay: late specialist access can postpone formal assessment for adults.,13,niche,late_specialist_referral,low_resource_adults,1,0.674,education,patient.example,niche,none,0.455,3.176
Q7_C12,Q7,"Adult ADHD may go unrecognized when women present mainly with overwhelm, rumination, and disorganization.",15,informative_isolated,women_internalizing,women,1,0.781,equity,equity.example,isolated,informative_isolated,7.498,6.796
Q7_C13,Q7,Productivity blog: phone distraction and multitasking are often discussed without addressing clinical ADHD.,14,noisy_outlier,irrelevant_productivity,general,0,0.169,blog,blog.example,noisy,noisy_outlier,13.956,-13.565
Q8_C1,Q8,"Kidney disease signs: swelling, fatigue, foamy urine, reduced kidney function.",10,core_redundant,common_ckd_signs,general,0,0.935,guideline,guidelines.example,core,none,-0.019,0.028
Q8_C2,Q8,"Kidney disease signs: edema, fatigue, abnormal urine, declining kidney function.",10,core_redundant,common_ckd_signs,general,0,0.934,guideline,guidelines.example,core,none,0.019,0.026
Q8_C3,Q8,"Kidney disease signs: swelling, tiredness, urine changes, reduced kidney function.",10,core_redundant,common_ckd_signs,general,0,0.919,guideline,guidelines.example,core,none,-0.029,0.0
Q8_C4,Q8,"Kidney disease signs: edema, fatigue, urine abnormalities, worsening renal function.",10,core_redundant,common_ckd_signs,general,0,0.913,guideline,guidelines.example,core,none,0.006,0.012
Q8_C5,Q8,"Kidney disease signs: swelling, fatigue, protein in urine, reduced function.",10,core_redundant,common_ckd_signs,general,0,0.904,guideline,guidelines.example,core,none,-0.03,0.003
Q8_C6,Q8,Kidney disease in older adults: symptoms may be subtle and attributed to aging or frailty.,16,complementary,older_adults_subtle,older_adults,1,0.824,review,review.example,comp,none,2.769,0.293
Q8_C7,Q8,Kidney disease in diabetes: overlap with diabetes symptoms can delay recognition of kidney decline.,15,complementary,diabetes_overlap,people_with_diabetes,1,0.811,review,review.example,comp,none,2.779,0.242
Q8_C8,Q8,Kidney disease follow-up: abnormal labs need repeat testing and timely evaluation.,12,complementary,testing_followup,general,0,0.791,review,review.example,comp,none,2.852,0.305
Q8_C9,Q8,Kidney care access: delayed follow-up and referral can slow diagnosis.,10,complementary,care_access_delay,low_access_patients,1,0.785,review,review.example,comp,none,2.75,0.284
Q8_C10,Q8,Kidney disease late detection: subtle edema and fatigue can be missed in older adults.,15,niche,late_detection,older_adults,1,0.683,education,patient.example,niche,none,0.445,3.26
Q8_C11,Q8,Kidney follow-up: repeated abnormal labs should trigger timely work-up rather than watchful delay.,14,niche,testing_followup,general,0,0.665,education,patient.example,niche,none,0.585,3.277
Q8_C12,Q8,Kidney disease may be detected late when diabetes overlap masks declining renal function.,14,informative_isolated,late_detection,people_with_diabetes,1,0.784,equity,equity.example,isolated,informative_isolated,7.505,6.775
Q8_C13,Q8,Hydration article: dark urine and tiredness are often attributed to dehydration online.,13,noisy_outlier,irrelevant_hydration,general,0,0.154,blog,blog.example,noisy,noisy_outlier,14.049,-13.448
Q9_C1,Q9,"Postpartum depression signs: low mood, crying, hopelessness, loss of interest.",10,core_redundant,common_ppd_signs,general,0,0.941,guideline,guidelines.example,core,none,0.019,0.006
Q9_C2,Q9,"Postpartum depression signs: sadness, hopelessness, low mood, reduced interest.",10,core_redundant,common_ppd_signs,general,0,0.93,guideline,guidelines.example,core,none,-0.002,0.018
Q9_C3,Q9,"Postpartum depression signs: persistent low mood, crying, guilt, reduced pleasure.",10,core_redundant,common_ppd_signs,general,0,0.922,guideline,guidelines.example,core,none,-0.014,-0.009
Q9_C4,Q9,"Postpartum depression signs: sadness, hopelessness, low mood, withdrawal, loss of interest.",12,core_redundant,common_ppd_signs,general,0,0.912,guideline,guidelines.example,core,none,0.008,0.023
Q9_C5,Q9,"Postpartum depression signs: depressed mood, crying, guilt, loss of enjoyment.",10,core_redundant,common_ppd_signs,general,0,0.91,guideline,guidelines.example,core,none,-0.026,0.001
Q9_C6,Q9,"Postpartum distress can be anxiety-dominant, with panic, intrusive worry, and agitation.",12,complementary,anxiety_dominant,anxiety_dominant_parents,1,0.816,review,review.example,comp,none,2.75,0.263
Q9_C7,Q9,Postpartum distress worsens with social isolation and low practical support.,10,complementary,social_isolation,socially_isolated_parents,1,0.81,review,review.example,comp,none,2.726,0.299
Q9_C8,Q9,"Postpartum screening barriers include shame, minimization, and limited follow-up.",10,complementary,screening_barrier,general,0,0.792,review,review.example,comp,none,2.825,0.245
Q9_C9,Q9,"Postpartum urgent follow-up is needed when symptoms escalate, impair care, or include self-harm thoughts.",15,complementary,urgent_followup,general,0,0.783,review,review.example,comp,none,2.869,0.306
Q9_C10,Q9,Postpartum distress may be under-recognized when anxiety and restlessness dominate instead of sadness.,14,niche,underrecognized_distress,anxiety_dominant_parents,1,0.68,education,patient.example,niche,none,0.538,3.246
Q9_C11,Q9,Postpartum isolation can hide symptom severity when practical support is absent.,12,niche,social_isolation,socially_isolated_parents,1,0.667,education,patient.example,niche,none,0.416,3.265
Q9_C12,Q9,Postpartum depression may be missed when a parent appears functional but reports severe intrusive distress.,16,informative_isolated,underrecognized_distress,anxiety_dominant_parents,1,0.78,equity,equity.example,isolated,informative_isolated,7.472,6.791
Q9_C13,Q9,New parent article: sleep deprivation and routine stress are often discussed without screening for depression.,16,noisy_outlier,irrelevant_parenting,general,0,0.185,blog,blog.example,noisy,noisy_outlier,14.026,-13.565
Q10_C1,Q10,"Asthma symptoms: wheeze, cough, chest tightness, shortness of breath.",10,core_redundant,common_asthma_symptoms,general,0,0.943,guideline,guidelines.example,core,none,-0.02,0.021
Q10_C2,Q10,"Asthma symptoms: cough, wheeze, chest tightness, breathlessness.",10,core_redundant,common_asthma_symptoms,general,0,0.929,guideline,guidelines.example,core,none,0.024,0.011
Q10_C3,Q10,"Asthma symptoms: wheeze, breathlessness, cough, chest tightness.",10,core_redundant,common_asthma_symptoms,general,0,0.924,guideline,guidelines.example,core,none,0.017,0.024
Q10_C4,Q10,"Asthma symptoms: cough, wheeze, shortness of breath, chest tightness.",10,core_redundant,common_asthma_symptoms,general,0,0.915,guideline,guidelines.example,core,none,0.025,0.028
Q10_C5,Q10,"Asthma symptoms: wheeze, cough, chest tightness, breathing difficulty.",10,core_redundant,common_asthma_symptoms,general,0,0.911,guideline,guidelines.example,core,none,0.027,0.026
Q10_C6,Q10,Asthma in women can be under-recognized when breathlessness is misattributed or symptoms fluctuate.,14,complementary,women_underrecognition,women,1,0.821,review,review.example,comp,none,2.722,0.276
Q10_C7,Q10,"Exercise-induced asthma may appear mainly during training, running, or cold-air exertion.",12,complementary,exercise_induced,athletes,1,0.809,review,review.example,comp,none,2.817,0.341
Q10_C8,Q10,"Nighttime asthma symptoms include nocturnal cough, chest tightness, and waking short of breath.",14,complementary,nighttime_symptoms,nighttime_cases,1,0.796,review,review.example,comp,none,2.746,0.369
Q10_C9,Q10,Asthma action plan: inhaler adjustment and follow-up reduce severe exacerbations.,10,complementary,action_plan,general,0,0.789,review,review.example,comp,none,2.861,0.253
Q10_C10,Q10,Asthma delayed diagnosis can occur when athletes normalize exercise-related breathlessness.,10,niche,delayed_diagnosis,athletes,1,0.682,education,patient.example,niche,none,0.511,3.255
Q10_C11,Q10,Nighttime cough and wheeze should prompt reassessment rather than routine reassurance.,12,niche,nighttime_symptoms,nighttime_cases,1,0.666,education,patient.example,niche,none,0.577,3.172
Q10_C12,Q10,Asthma may be missed when women report recurrent breathlessness without obvious wheeze during clinic visits.,16,informative_isolated,women_underrecognition,women,1,0.78,equity,equity.example,isolated,informative_isolated,7.494,6.781
Q10_C13,Q10,Fitness blog: poor conditioning and mouth breathing are common online explanations for breathlessness.,14,noisy_outlier,irrelevant_fitness,general,0,0.152,blog,blog.example,noisy,noisy_outlier,14.063,-13.528
