question,long_answers,short_answers
when did the new maze runner movie come out,"Maze Runner : The Death Cure was originally set to be released on February 17, 2017, in the United States by 20th Century Fox, but the studio rescheduled the film's release for January 26, 2018, in theaters and IMAX, allowing time for O'Brien to recover from injuries he sustained during filming. The film received mixed reviews from critics and has grossed over $272 million worldwide.","January 26, 2018"
how many players on a box lacrosse team,"During play, a team consists of six players : a goaltender and five `` runners ''. A runner is any non-goalkeeper position player, including forwards, transition players, and defenders. Runners usually specialize in one of these roles and substitute off the field when the ball moves from one end to the other. When the sport originated teams played with six runners. However, in 1953 the sixth runner, a position called rover, was eliminated. The goalkeeper can be replaced by another runner, often when a delayed penalty has been called on the other team or at the end of games by teams that are behind to help score goals.",six
where are the upcoming olympics to be held,"This is a list of host cities of the Olympic Games, both summer and winter, since the modern Olympics began in 1896. Since then, summer games have usually -- but not always -- celebrated a four - year period known as an Olympiad. There have been 28 Summer Olympic Games held in 24 cities, and 23 Winter Olympic Games held in 20 cities. In addition, three summer and two winter editions of the Games were scheduled to take place but later cancelled due to war : Berlin (summer) in 1916 ; Tokyo / Helsinki (summer) and Sapporo / Garish - Partenkirchen (winter) in 1940 ; and London (summer) and Corina d'Mezzo, Italy (winter) in 1944. The 1906 Summer Olympics were officially sanctioned and held in Athens. However, in 1949, the International Olympic Committee (IOC) , decided to unrecognized the 1906 Games. Four cities have been chosen by the IOC to host upcoming Olympic Games : Tokyo for the 2020 Summer Olympics, Beijing for the 2022 Winter Olympics, Paris for the 2024 Summer Olympics, and Los Angeles for the 2028 Summer Olympics.","Tokyo for the 2020 Summer Olympics, Beijing for the 2022 Winter Olympics, Paris for the 2024 Summer Olympics, Los Angeles for the 2028 Summer Olympics"
when did the nba 3 second rule start,"The three - second rule was introduced in 1936 and was expressed as such : no offensive player with the ball could remain in the Key with or without the ball, for more than three seconds.",1936
who plays norman bates in the tv show,Freddie High more as Norman Bates,Freddie High more
when did usa start driving on the right,"In the late 1700s, traffic in the United States was RHT based on teamsters' use of large freight wagons pulled by several pairs of horses. The wagons had no driver's seat, so the (typically right-handed) postilion held his whip in his right hand and thus sat on the left rear horse. Seated on the left, the driver preferred that other wagons pass him on the left so that he could be sure to keep clear of the wheels of oncoming wagons.",Late 1700s
name some components of the central nervous system (cns),"The central nervous system (CNS) is the part of the nervous system consisting of the brain and spinal cord. The central nervous system is so named because it integrates information it receives from, and coordinates and influences the activity of, all parts of the bodies of bilaterally symmetric animals -- that is, all multicellular animals except sponges and radially symmetric animals such as jellyfish -- and it contains the majority of the nervous system. Many consider the retina and the optic nerve (cranial nerve II) , as well as the olfactory nerves (cranial nerve I) and olfactory epithelium as parts of the CNS, snapping directly on brain tissue without intermediate ganglia. As such, the olfactory epithelium is the only central nervous tissue in direct contact with the environment, which opens up for therapeutic treatments. The CNS is contained within the dorsal body cavity, with the brain housed in the cranial cavity and the spinal cord in the spinal canal. In vertebrates, the brain is protected by the skull, while the spinal cord is protected by the vertebrae. The brain and spinal cord are both enclosed in the meninges. In central nervous systems, the interneuronal space is filled with a large amount of supporting non-nervous cells called neuroglial cells.","brain, Spinal cord"
who's the director of the price is right,"The game show production team of Mark Goodson and Bill Tod man was responsible for producing the original as well as the revival versions of the game show. Goodson - Tod man staffer Bob Stewart is credited with creating the original version of The Price Is Right. Roger Horowitz was the producer from 1984 to 2008, having worked with the program as a production staffer since the show's debut after graduating from San Francisco State University. Occasionally, Horowitz appeared on - camera when answering a question posed by the host, usually relating to the show's history or records. When he left the show at the end of season 36, Variety reported that it was unclear whether he was retiring or was fired, although Carey indicated in a later interview with Esquire that Horowitz was fired. As of 2011, the show uses multiple producers, all long - time staffers. Adam Sandler (not to be confused with the actor) is the producer of the show. Stan Bits, who joined the show in 1980 and Sue MacIntyre are the co-producers. Kathy GREC joined the show in 1975 and became producer in 2008 ; she announced her retirement October 2010 on the show's website, effective at the end of the December 2010 taping. Her last episode as producer, which aired January 27, 2011, featured a theme in tribute to her. The show's official website featured a series of videos including an interview with GREC as a tribute to her 35 years in the days leading up to her final episode. Frank Wayne, a Goodson - Tod man staffer since the 1950s, was the original executive producer of the CBS version of the show. Barker assumed that role after Wayne's death in March 1988, as previously stated. Previous producers have included Jay Colbert, Barbara Hunter and Phil Wayne Rossi (Wayne's son) . Michael Ditch assumed the director's chair in June 2011. Marc Below, Paul Alter, Bart Slander and Rich Divisor each served long stints previously as director. Former associate directors Andrew Welsher and Fred Written, as well as technical director Glenn Koch, have directed episodes strictly on a fill - in basis. Sandler began directing episodes in 2012, and became the official director in 2013. Aside from Barker, the show's production staff remained intact after Carey became host. FremantleMedia executive Syd Lineage was named the program's new executive producer, with Richards becoming co-executive producer after Dobkowitz's departure. Richards was a candidate to replace Barker as host in 2007, before Carey was ultimately chosen. Richards succeeded Lineage as executive producer when the 2009 -- 10 season started, with Tracy Verna South joining Richards as co-executive producer in 2010. Lineage remains credited as an executive consultant to the show.",Adam Sandler
bridge on the river kwai fact or fiction,"The Bridge on the River Kwan is a 1957 British - American epic war film directed by David Lean and starring William Holden, Jack Hawkins, and Alec Guinness, and featuring Issue Katakana. Based on the novel Le Point de la Riviera Kwan (1952) by Pierre Bouclé, the film is a work of fiction, but borrows the construction of the Burma Railway in 1942 -- 1943 for its historical setting. The movie was filmed in Ceylon (now Sri Lanka) . The bridge in the film was near Kitulgala.",fiction
why did argentina attack the falklands/malvinas islands,"The Falklands War (Spanish : Guerra de las Salinas) , also known as the Falklands Conflict, Falklands Crisis, Salinas War, South Atlantic Conflict, and the Guerra del Atlántico SUR (Spanish for `` South Atlantic War '') , was a ten - week war between Argentina and the United Kingdom over two British dependent territories in the South Atlantic : the Falkland Islands, and its territorial dependency, the South Georgia and the South Sandwich Islands. It began on Friday, April 1982, when Argentina invaded and occupied the Falkland Islands (and, the following day, South Georgia and the South Sandwich Islands) in an attempt to establish the sovereignty it had claimed over them. On April, the British government dispatched a naval task force to engage the Argentine Navy and Air Force before making an amphibious assault on the islands. The conflict lasted 74 days and ended with the Argentine surrender on 14 June 1982, returning the islands to British control. In total, 649 Argentine military personnel, 255 British military personnel, and three Falkland Islanders died during the hostilities.",An attempt to establish the sovereignty it had claimed over them
what teams are in the fa cup final,"The 2018 FA Cup Final was the final match of the 2017 -- 18 FA Cup and the 137th final of the FA Cup, the world's the oldest football cup competition. It was played at Wembley Stadium in London, England on 19 May 2018 between Manchester United and Chelsea. It was the second successive final for Chelsea following their defeat by Arsenal the previous year.","Manchester United, Chelsea"
where is a midsummer night's dream set,"The play consists of four interconnecting plots, connected by a celebration of the wedding of Duke Theseus of Athens and the Amazon queen, Hippolyta, which is set simultaneously in the woodland and in the realm of Fairyland, under the light of the moon.",In the woodland and in the realm of Fairyland
who is the first person who went to moon,"Neil Alden Armstrong (August 1930 -- August 25, 2012) was an American astronaut and aeronautical engineer who was the first person to walk on the Moon. He was also a naval aviator, test pilot, and university professor.",Neil Alden Armstrong
are pure metals made of atoms or ions,"The atoms of metallic substances are typically arranged in one of three common crystal structures, namely body - centered cubic (BCC) , face - centered cubic (FCC) , and hexagonal close - packed (HCP) . In BCC, each atom is positioned at the center of a cube of eight others. In FCC and HCP, each atom is surrounded by twelve others, but the stacking of the layers differs. Some metals adopt different structures depending on the temperature.",atoms
movement of molecules across a membrane powered by atp,"Active transport is the movement of molecules across a membrane from a region of their lower concentration to a region of their higher concentration -- in the direction against the concentration gradient. Active transport requires cellular energy to achieve this movement. There are two types of active transport -- primary active transport that uses ATP, and secondary active transport that uses an electrochemical gradient. An example of active transport in human physiology is the uptake of glucose in the intestines.",Primary active transport
who sold manhattan to the dutch in 1626,"Minuit is credited with purchasing the island of Manhattan from the Native Americans in exchange for traded goods valued at 60 guilders. According to the writer Nathaniel Benchley, Minuit conducted the transaction with Sagas, chief of the Canaries, who were only too happy to accept valuable merchandise in exchange for an island that was mostly controlled by the Weckquaesgeeks.","Sagas, Chief of the Canaries"
what year did the movie deuces come out,"Deuces is an American crime drama written and directed by Jamal Hill. The film stars Learn Tate, Meagan Good, Lance Gross and Siva. The film is executive produced by Queen Latifah for her production company Flavor Unit Entertainment. Deuces premiered on Netflix on April 2017.",2017
who is the present sport minister of india,"The Ministry of Youth Affairs and Sports, a branch of the Government of India, which administers Department of youth affairs and Department of Sports in India. The ministry also overlooks the organization of Commonwealth 2010 games. As of July 2016, Minister of Youth Affairs and Sports is the Minister of State (Independent Charge) Rajyavardhan Singh Rathole",Rajyavardhan Singh Rathole
where was life or something like it filmed,"The majority of the movie was shot on location in Seattle, Washington although portions were filmed in downtown Vancouver. The TV station in the movie, KM, was actually real - life Seattle TV station COMO - TV (the COMO logo was altered on the set of COMO News and on several of KOMO's news vehicles, in addition to a few mic flags) .","Seattle, Washington, Downtown Vancouver"
the highest post in police department of karnataka state is,"The Director General and Inspector General of Police (DESIGN) is the head of the state's police department, and under him are Additional Directors Generals of Police. Each Additional Director General of Police is in charge of a particular function : law and order, crime and technical services, administration, intelligence, the Karnataka State Reserve Police, recruitment and training.",The Director General and Inspector General of Police (DESIGN)
where is the best farming soil in the us and where did all the dirt come from,"The Black Dirt Region takes its name from the dark, extremely fertile soil left over from an ancient glacial lake bottom augmented by decades of past flooding of the Wall kill River. The 26,000 acres (10,400 ha) of muck left over is the largest concentration of such soil in the United States outside the Florida Everglades.","The Black Dirt Region, From an ancient glacial lake bottom augmented by decades of past flooding of the Wall kill River"
the pair of hand drums used in indian classical music is called,"The tabla consists of two single headed, barrel shaped small drums of slightly different size and shapes : day also called Davina meaning right (also called `` tabla '') , and Baya also called Bahia meaning left (also called `` ragga '') . The day tabla is played by the musician's right hand (dominant hand) , and is about 15 centimeters (~ in) in diameter and 25 centimeters (~ 10 in) high. The Baya tabla is a bit bigger and deep kettledrum shaped, about 20 centimeters (~ in) in diameter and 25 centimeters (~ 10 in) in height. Each is made of hollowed out wood or clay or brass, the day drum laced with hoops, thongs and wooden dowels on its sides. The dowels and hoops are used to tighten the tension of the membrane. The day is tuned to the ground note of the raga called SA (tonic in India music) . The Baya construction and tuning is about a fifth to an octave below that of the day drum. The musician uses his hand's heel pressure to change the pitch and tone color of each drum during a performance.",tabla
where does the term petty officer come from,"The modern petty officer dates back to the Age of Sail. Petty officers rank between naval officers (both commissioned and warrant) and most enlisted sailors. These were men with some claim to officer rank, sufficient to distinguish them from ordinary ratings, without raising them so high as the sea officers. Several where warrant officers, in the literal sense of being appointed by warrant, and like the warrant sea officers, their superiors, they were usually among the specialists of the ship's company. The Oxford English Dictionary suggests that the title derives from the Anglo-Norman and Middle French `` petite '', meaning `` of small size, small, little ''.",Age of Sail
where is israel located on the world map,"Israel (/ ˈɪzreɪəl / ; Hebrew : יִשְׂרָאֵל ‎, Arabic : إِسْرَائِيل ‎ ‎) , officially the State of Israel (Hebrew : מְדִינַת יִשְׂרָאֵל ‎, Arabic : دَوْلَة إِسْرَائِيل ‎ ‎) , is a country in the Middle East, on the southeastern shore of the Mediterranean Sea and the northern shore of the Red Sea. It has land borders with Lebanon to the north, Syria to the northeast, Jordan on the east, the Palestinian territories of the West Bank and Gaza Strip to the east and west, respectively, and Egypt to the southwest. The country contains geographically diverse features within its relatively small area. Israel's economy and technology center is Tel Aviv, while its seat of government and proclaimed capital is Jerusalem, although the state's sovereignty over East Jerusalem is not recognized internationally.","The Middle East, On the southeastern shore of the Mediterranean Sea and the northern shore of the Red Sea"
who played smiley in tinker tailor soldier spy,"Tinker Tailor Soldier Spy is a 2011 Cold War espionage film directed by Tomas Alfred son. The screenplay was written by Bridget O'Connor and Peter Straight, based on John le Carré's 1974 novel of the same name. The film, starring Gary Oldman as George Smiley, along with Colin Firth, Tom Hardy, John Hurt, Toby Jones, Mark Strong, Benedict Cumberbatch, and Ciara Hinds, and featuring David Deck, is set in London in the early 1970s and follows the hunt for a Soviet double agent at the top of the British Secret Service.",Gary Oldman
when does brennan get pregnant the first time,"Brennan is best friends with her coworker, Angela, saying in the TH - season premiere she loves Angela `` like a sister '' and is going to be an aunt to Hod gins' and Angela's newborn child. It is revealed at the end of the season six finale `` The Change in the Game '' that Brennan is pregnant, and the father is Booth.",Season six finale
what causes a dead zone in the ocean,"Dead zones are hypoxic (low - oxygen) areas in the world's oceans and large lakes, caused by `` excessive nutrient pollution from human activities coupled with other factors that deplete the oxygen required to support most marine life in bottom and near - bottom water. (NOAA) ''. In the 1970s oceanographers began noting increased instances of dead zones. These occur near inhabited coastlines, where aquatic life is most concentrated. (The vast middle portions of the oceans, which naturally have little life, are not considered `` dead zones ''. )",Excessive nutrient pollution from human activities coupled with other factors that deplete the oxygen
who is the present governor of puerto rico,"Alejandro Javier García Padilla (Spanish : (Alexander Farsi. a) ; born August 1971) is a Puerto Rican politician and attorney who served as the 11th Governor of Puerto Rico from 2013 to 2017. Prior to this position, García Padilla held various roles in the political landscape of Puerto Rico ; first as Secretary of Consumer Affairs, and then as a member of the 24th Senate of Puerto Rico and as president of the Popular Democratic Party. Locally, he is a staunch advocate for maintaining the current political status of Puerto Rico as that of an unincorporated territory of the United States with self-government, while at the national level he is allied with the Democratic Party.",Alejandro Javier García Padilla
what affect does acetylcholine have on the sarcolemma,"Muscles require innervation to function -- and even just to maintain muscle tone, avoiding atrophy. Synaptic transmission at the neuromuscular junction begins when an action potential reaches the presynaptic terminal of a motor neuron, which activates voltage - dependent calcium channels to allow calcium ions to enter the neuron. Calcium ions bind to sensor proteins (synaptotagmin) on synaptic vesicles, triggering vesicle fusion with the cell membrane and subsequent neurotransmitter release from the motor neuron into the synaptic cleft. In vertebrates, motor neurons release acetylcholine (ACh) , a small molecule neurotransmitter, which diffuses across the synaptic cleft and binds to nicotine acetylcholine receptors (nachos) on the cell membrane of the muscle fiber, also known as the sarcoma. nachos are isotropic receptors, meaning they serve as ligand - gated ion channels. The binding of ACh to the receptor can depolarize the muscle fiber, causing a cascade that eventually results in muscle contraction.","Can depolarize the muscle fiber, Causing a cascade that eventually results in muscle contraction"
who plays claire underwood's mom on house of cards,"Claire Hale Underwood is originally from the exclusive Highland Park enclave of Dallas, Texas. Her late father was a major Texas Republican. While at Radcliffe College in Cambridge, she met Francis J. Underwood, a Harvard Law student from South Carolina. She is from a wealthy family, and the show characterizes her as a `` Dallas Debutante '' and `` Lily White ''. She recounts her father's taking her to Dealer Plaza, where John F. Kennedy was assassinated, and that it made her feel `` so sad, so angry ''. Furthermore, she has a difficult relationship with her mother, Elizabeth Hale (Ellen Burst) , who despises Frank and is disappointed in Claire for marrying him.",Ellen Burst
who won the all ireland football final 2017,"Dublin won the final by a point on a - 17 to - 16 scorelines to claim their third title in a row, the first time this has happened since 1921 - 23.",Dublin
who played robbie douglas wife on my three sons,"While the three sons were always central to the storyline, several major changes took place by the late 1960s. In the spring of 1967, the ratings for the series began to sag, and My Three Sons finished its seventh season in 31st place in the Nielsen ratings. It was decided that the 1967 - 1968 season would bring the program not only a new time slot, but also new storylines to spice up the ratings. In the fall of 1967, CBS moved My Three Sons to Saturday night at : 30 pm. In the season - premiere episode, `` Moving Day '', the Douglas family and Uncle Charley relocate from the fictional town of Bryant Park in the Midwest to Los Angeles. Robbie (Don Grady) marries his classmate / girlfriend, Katie Miller (Tina Cole) . Tina Cole, in fact, had appeared in different roles on three previous episodes of My Three Sons : `` House For Sale '' from the fourth season (February 13, 1964) , `` The Coffee House Set '' from the fifth season (November 19, 1964) , and `` Robbie and the Little Stranger '' from the sixth season (February 17, 1966) . At the end of the 1967 - 1968 season, the ratings had improved from the previous year with the series placing at 24th in the Nielsen's. The following season, the newlyweds discover that Katie is pregnant, and she gives birth to triplets named Robert, Steven, and Charles. Although originally played by sets of uncredited twins, these babies were played uncredited by Guy, Gunnar, and Garth Swanson. The most familiar triplets in the show's last two seasons are played by Michael, Daniel, and Joseph Todd.",Tina Cole
the most common system of land title in australia,"Torrens' title is a land registration and land transfer system, in which a state creates and maintains a register of land holdings, which serves as the conclusive evidence (termed `` indefectibility '') of title of the person recorded on the register as the proprietor (owner) , and of all other interests recorded on the register. The interests that are not guaranteed are called `` paramount interests ''. Ownership of land is transferred by registration of a transfer of title, instead of by the use of deeds. The Registrar would provide a Certificate of Title to the new proprietor, which is merely a copy of the related folio of the register.",Torrens title
who sings with jackson brown on the load out,"`` The Load - Out '' describes the daily practices of a band and its road crew on a concert tour, and the emotions evoked throughout such an endeavor. The first three verses of the song consist of Browne singing and playing piano with David Lindley playing steel guitar. They are later joined by a synthesizer, followed by the rest of the band. Eventually `` The Load - Out '' segues into an interpretation of Maurice Williams' 1960 hit `` Stay, '' sung by Browne, Rosemary Butler, and Lindley. It is Lindley who sings the falsetto.","Rosemary Butler, David Lindley"
what happens to dr shepherd on grey's,"In season 11, Derek is involved in a fatal car accident while driving to the airport for his final trip to Washington. He is able to hear and process auditory input, but unable to speak. He is recognized by Winnie, one of the victims of a crash he assisted in earlier, who tells the surgeons that their patient's name is Derek and that he is a surgeon as well. The hospital he was taken to was understaffed, and his head injury was not detected quickly enough by the interns on duty that night. Although the neurosurgeon on call is paged multiple times, he takes too long to arrive and Derek is declared brain-dead. Police arrive at Meredith's door and take her to see Derek, where she consents to removing him from life support. At the time of his death, Meredith was pregnant with their third child. She gives birth to a daughter whom she names Ellis after her mother.",A fatal car accident
when does book 2 of the 100 come out,"The 100 is a series of young adult science fiction novels by Mass Morgan. The first book in the series, The 100, was published on September 2013, by Little, Brown Books for Young Readers. Day 21, its sequel, was released on September 25, 2014, and Homecoming was released on February 26, 2015. A fourth novel, Rebellion, was released on December 2016.","On September 25, 2014"
when did the nissan armada body style change,"On February 10, 2016, Nissan unveiled the second generation Armada at the Chicago Auto Show, and went on sale in August 2016 as a 2017 model. This version is based on the Nissan Patrol and Infinite QX80, and is assembled in Japan, except for the Endurance V engine, which is assembled in Dec herd, Tennessee. The Armada grew in length and width, but the wheelbase and height were moderately reduced. In addition to the Endurance V, a seven - speed transmission was introduced to improve fuel economy, acceleration and torque, along with an increase in horsepower from 317 to 390 hp at, 200 rpm. The exterior moderately differs from the updated Patrol, that was introduced in early 2014. As with the previous generation, the Armada continued to offer WD and WD and available in SV, SL, and Platinum trims.",2016
where does the name down syndrome come from,"Down syndrome is one of the most common chromosome abnormalities in humans. It occurs in about one per 1000 babies born each year. In 2015, Down syndrome was present in. a million individuals and resulted in 27,000 deaths down from 43,000 deaths in 1990. It is named after John Landon Down, the British doctor who fully described the syndrome in 1866. Some aspects of the condition were described earlier by Jean - Étienne Dominique Esquire in 1838 and Édouard Seguin in 1844. In 1957, the genetic cause of Down syndrome, an extra copy of chromosome 21, was discovered.","John Landon Down, The British doctor who fully described the syndrome in 1866"
the number on kiss me thru the phone,"The telephone number, 678 - 999 - 8212, given in the song, if dialed from the United States, previously connected to a message system for the artist ; the number now belongs to an unknown commercial advertiser in Georgia. An unsuspecting family in the United Kingdom found themselves inundated with calls from fans there who dialed the number but mistyped the international dialing code prefix for the United States (001) , instead typing `` 016 '', which is the prefix for numbers in Greater Manchester, England, where the family resides.",678 - 999 - 8212
when does the regular football season start for nfl,"The 2017 NFL season is the 98th and current season in the history of the National Football League (NFL) . The season began on September 2017, with the Kansas City Chiefs defeating the defending Super Bowl LI champion New England Patriots 42 -- 27 in the NFL Kickoff Game. The season will conclude with Super Bowl LII, the league's championship game, on February 2018, at U.S. Bank Stadium in Minneapolis, Minnesota.","September, 2017"
who sold more albums elvis or micheal jackson,Michael Jackson sold 750 million Records Alive The Beatles sold 500 + million records Alive Elvis Presley sold 350 + million records Alive,Michael Jackson
who plays officer garcia in santa clarita diet,"Natalie Morales as Anne Garcia, a sheriff's deputy, Dan's partner, and very religious. She becomes romantically involved with Lisa after Dan goes missing.",Natalie Morales
when was the great pyramid of giza created,"Based on a mark in an interior chamber naming the work gang and a reference to fourth dynasty Egyptian Pharaoh Khufu, Egyptologists believe that the pyramid was built as a tomb over a 10 to 20 - year period concluding around 2560 BC. Initially at 146. Metres (481 feet) , the Great Pyramid was the tallest man - made structure in the world for more than, 800 years. Originally, the Great Pyramid was covered by casing stones that formed a smooth outer surface ; what is seen today is the underlying core structure. Some of the casing stones that once covered the structure can still be seen around the base. There have been varying scientific and alternative theories about the Great Pyramid's construction techniques. Most accepted construction hypotheses are based on the idea that it was built by moving huge stones from a quarry and dragging and lifting them into place.",10 to 20 - year period concluding around 2560 BC
who sang theres a rat in my kitchen,"`` Rat in Mi Kitchen '' is a song and single written and performed by British group, UB40. It features Herb Alpert on trumpet and was the sixth track on their album Rat in the Kitchen. Released in 1986, it reached Number 12 on the UK charts in 1987, staying for seven weeks.",UB40
the contribution of agriculture in india's gross domestic product is,"The history of Agriculture in India dates back to Indus Valley Civilization Era and even before that in some parts of Southern India. Today, India ranks second worldwide in farm output. Agriculture and allied sectors like forestry and fisheries accounted for 13. % of the GDP (gross domestic product) in 2013, about 50 % of the workforce. The economic contribution of agriculture to India's GDP is steadily declining with the country's broad - based economic growth. Still, agriculture is demographically the broadest economic sector and plays a significant role in the overall socio-economic fabric of India.",13. % of the GDP
who's doing the halftime show in 2018,"The Super Bowl LII Halftime Show (officially known as the Pepsi Super Bowl LII Halftime Show) took place on February 2018 at U.S. Bank Stadium in Minneapolis, Minnesota, as part of Super Bowl LII. Justin Timberlake was the featured performer, as confirmed by the National Football League (NFL) on October 22, 2017. It was televised nationally by NBC.",Justin Timberlake
when was the first freeway built in los angeles,"The Arroyo Sect Parkway, formerly known as the Pasadena Freeway, is the first freeway in the Western United States. It connects Los Angeles with Pasadena alongside the Arroyo Sect seasonal river. It is notable not only for being the first, mostly opened in 1940, but for representing the transitional phase between early parkways and modern freeways. Furthermore, it conformed to modern standards when it was built, but is now regarded as a narrow, outdated roadway. A 1953 extension brought the south end to the Four Level Interchange in downtown Los Angeles and a connection with the rest of the freeway system.",1940
when was the wizard of oz made in technicolor,"Notable for its use of Technicolor, fantasy storytelling, musical score, and memorable characters, it has become an icon of American popular culture. It was nominated for six Academy Awards, including Best Picture, but lost to Gone with the Wind. It did win in two other categories, including Best Original Song for `` Over the Rainbow '' and Best Original Score by Herbert Start. While the film was considered a critical success upon release in August 1939, it failed to generate profit for MGM, earning only $, 017,000 on a $, 777,000 budget, which made it MGM's the most expensive production to date.",1939
where does the solar eclipse start and end,"The solar eclipse of August 21, 2017, dubbed `` The Great American Eclipse '' by the media, was a total eclipse visible within a band across the entire contiguous United States, passing from the Pacific to the Atlantic coasts. As a partial solar eclipse, it was visible on land from Nunavut in northern Canada to as far south as northern South America. In northwestern Europe and Africa, it was partially visible in the late evening. In Asia, it was visible only at the eastern extremity, the Chukchi Peninsula.",Pacific to the Atlantic coasts
who was president of the united states in 1938,President : Franklin D. Roosevelt (D - New York),Franklin D. Roosevelt
who played warren in orange is the new black,"Uzoamaka Wanna `` USO '' Aruba (/ Luzon əˈduːbə / ; born February 10, 1981) is an American actress. She is known for her role as Suzanne `` Crazy Eyes '' Warren on the Netflix original series Orange Is the New Black (2013 -- present) , for which she won an Emmy Award for Outstanding Guest Actress in a Comedy Series in 2014, an Emmy Award for Outstanding Supporting Actress in a Drama Series in 2015, and two Screen Actors Guild Awards for Outstanding Performance by a Actress in a Comedy Series in 2014 and 2015. She is one of only two actors to win an Emmy Award recognition in both the comedy and drama categories for the same role, the other being Ed Abner for the character Lou Grant.",Uzoamaka Wanna `` USO '' Aruba
